- - -
3 10 0.009777799999999726 VALID
4 11 0.051391900000000046 VALID
5 12 0.10458919999999994 VALID
6 13 0.15414329999999987 VALID
7 14 0.037231299999999745 VALID
8 15 0.07319090000000017 VALID
9 16 0.2765569000000001 VALID
10 17 0.24357969999999973 VALID
11 18 1.9844710999999995 VALID
12 19 1.9224265000000003 VALID
13 20 1.5486003000000004 VALID
14 21 2.2775184 VALID
15 22 2.1861185999999986 VALID
16 23 7.129259399999999 VALID
17 24 7.179725999999999 VALID
18 25 7.130464799999999 VALID
19 27 300.0543388 VALID
20 27 15.060802500000023 VALID
21 29 300.0694351 VALID
22 30 300.05813609999996 VALID
23 30 184.9221721 VALID
24 31 8.221439400000008 VALID
25 33 300.96423519999985 VALID
26 33 62.60933109999996 VALID
27 34 46.281384000000116 VALID
28 35 18.760768199999802 VALID
29 36 19.142208399999845 VALID
30 38 300.20129270000007 VALID
31 38 10.941279599999916 VALID
32 40 300.54104329999996 VALID
33 40 14.908672699999897 VALID
34 41 300.85638540000036 VALID
35 41 300.0373119000001 VALID
36 40 15.079948999999942 VALID
37 62 300.07366379999985 VALID
38 62 300.0653677999999 VALID
39 61 300.03973099999985 VALID
40 107 300.1011180999999 VALID

- - -
 Test : 2022-12-06 15:48:50.944403 AGGRESSIVE
1 8 0.006468099999999977 VALID
2 9 0.042746800000000196 VALID
3 10 0.031252100000000116 VALID
4 11 0.05118799999999979 VALID
5 12 0.05388290000000007 VALID
6 13 0.3514082000000003 VALID
7 14 0.04149080000000005 VALID
8 15 0.06824159999999946 VALID
9 16 0.2365094000000001 VALID
10 17 0.23047280000000026 VALID
11 18 1.1490345999999994 VALID
12 19 1.6283152000000003 VALID
13 20 0.9994621000000006 VALID
14 21 2.7794962000000005 VALID
15 22 3.2850775 VALID
16 23 13.393043900000002 VALID
17 24 6.4159194 VALID
18 25 21.1292434 VALID
19 27 301.2407078 NOT VALID
20 27 94.4448812 VALID
21 29 300.2209773 VALID
22 29 89.98948269999994 VALID
23 30 12.380935799999975 VALID
24 31 10.261036500000046 VALID
25 33 300.2438413 VALID
26 34 300.1821186999998 VALID
27 34 13.578252799999973 VALID
28 35 19.159743400000025 VALID
29 36 95.72548929999994 VALID
30 39 300.7378607999999 VALID
31 38 13.994521099999929 VALID
32 41 300.0646244000002 VALID
33 40 12.334791300000234 VALID
34 41 300.18394190000026 VALID
35 40 288.6161579999998 VALID
36 40 55.07345460000033 VALID
37 61 300.05968759999996 VALID
38 62 300.0491272000004 VALID
39 61 300.0179347999997 VALID
40 108 300.0879130999997 VALID
